sample,t_seconds,i_ideal,q_ideal,i_dac,q_dac,rf_ideal,rf_dac,rx_i,rx_q,rx_rf
0,0.0,-2.9999999999999996,-3.0,-3.0,-3.0,-2.9999999999999996,-3.0,-2.999487108491202,-2.981258819106003,-2.999487108491202
1,3.75037503750375e-07,-2.9982827464689352,-3.0009476226596252,-3.0,-3.0,-2.9267416574886096,-2.928480762266043,-2.9796037868953507,-3.011811803215905,-2.9078119005342207
2,7.5007500750075e-07,-2.9965325708437547,-3.0018724193993007,-2.9960938,-3.0,-2.8517836928684184,-2.85143357111489,-2.977722933821211,-2.994085837445139,-2.8333617759663037
3,1.125112511251125e-06,-2.9947494550352878,-3.0027743569484753,-2.9960938,-3.0039062,-2.775171383930688,-2.776432371069658,-3.003748356151815,-2.991338311067262,-2.784955582560262
4,1.5001500150015e-06,-2.992933381371896,-3.003653402259199,-2.9921875,-3.0039062,-2.6969510406876145,-2.6961846727782,-2.996657042666597,-3.028509195423764,-2.698318802923679
5,1.8751875187518752e-06,-2.9910843326001126,-3.0045095225066714,-2.9921875,-3.0039062,-2.6171699763095595,-2.618336409668305,-3.0000982628955013,-3.026114014915772,-2.623581825081632
6,2.25022502250225e-06,-2.9892022918852468,-3.005342685089761,-2.9882812,-3.0039062,-2.5358764773971365,-2.535167041556201,-3.7849764769155225,-4.745408856623756,-3.0785083375770705
7,2.625262526252625e-06,-2.987287242812017,-3.0061528576315517,-2.9882812,-3.0078125,-2.4531197736073747,-2.4538277702360984,-3.794363338864786,-4.744183076616818,-2.9638510810103718
8,3.000300030003e-06,-2.985339169385147,-3.0069400079798725,-2.984375,-3.0078125,-2.3689500066535314,-2.3678394139069012,-3.776761596938452,-4.7375148576316946,-2.822041935183794
9,3.3753375337533754e-06,-2.9833580560299815,-3.0077041042078223,-2.984375,-3.0078125,-2.283418198698668,-2.2843895420204734,-3.8150720031147443,-4.751121821764757,-2.729521647947566
10,3.7503750375037505e-06,-2.981343887593069,-3.0084451146143047,-2.9804688,-3.0078125,-2.1965762201634114,-2.1958729629500624,-3.7583064084128375,-4.7503176617700555,-2.545394948068718
11,4.125412541254125e-06,-2.9792966493427633,-3.0091630077245393,-2.9804688,-3.0078125,-2.108476756968856,-2.1099558564117897,-3.7832511224356646,-4.754688896637822,-2.4381704217536644
12,4.5004500450045e-06,-2.977216326969817,-3.0098577522906025,-2.9765625,-3.0117188,-2.0191732772358484,-2.0180261641402377,-4.808525038365952,-4.953451157224042,-3.235454970687472
13,4.875487548754875e-06,-2.9751029065879453,-3.010529317291928,-2.9765625,-3.0117188,-1.928719997462323,-1.9297529455550007,-4.820176460122548,-4.934515688872545,-3.1076849107518476
14,5.25052505250525e-06,-2.972956374734422,-3.0111776719358394,-2.9726562,-3.0117188,-1.83717184820076,-1.8367126262937192,-4.817450960710781,-4.9475205221768634,-2.9549258467508817
15,5.625562556255625e-06,-2.9707767183706264,-3.0118027856580576,-2.9726562,-3.0117188,-1.744584439258091,-1.7463768655144578,-4.80536923849112,-4.956716822805276,-2.79252838197549
16,6.000600060006e-06,-2.968563924882631,-3.0124046281232117,-2.96875,-3.0117188,-1.6510140244408538,-1.6514395427476218,-4.793584705048894,-4.957957631699014,-2.6315760702667115
17,6.375637563756375e-06,-2.9663179820817374,-3.012983169225357,-2.9648438,-3.0117188,-1.556517465868547,-1.5556530276553324,-4.805084106022248,-4.952431585372307,-2.4933920377121934
18,6.750675067506751e-06,-2.964038878205039,-3.0135383790884758,-2.9648438,-3.0117188,-1.4611521978786268,-1.4626346204598926,-4.801277967679994,-4.965998287168015,-2.3320450901008827
19,7.1257125712571255e-06,-2.9617266019159727,-3.0140702280669864,-2.9609375,-3.015625,-1.3649761905467372,-1.3635917849902768,-4.785345854504727,-4.944058743140481,-2.173334748366145
20,7.500750075007501e-06,-2.95938114230484,-3.0145786867462423,-2.9609375,-3.015625,-1.268047912846084,-1.268959544192066,-4.806229210387836,-4.941027620247633,-2.038891665510596
21,7.875787578757875e-06,-2.9570024888893713,-3.0150637259430364,-2.9570312,-3.015625,-1.1704262954701865,-1.1701850573766461,-4.8119836033146,-4.966596317457571,-1.876100793271801
22,8.25082508250825e-06,-2.9545906316152233,-3.0155253167061002,-2.953125,-3.015625,-1.072170693343337,-1.0708482437398534,-4.776979639909149,-4.954905410494758,-1.694138396737936
23,8.625862586258626e-06,-2.9521455608565255,-3.0159634303165896,-2.953125,-3.015625,-0.9733408478435214,-0.9743544964341111,-4.791311614108907,-4.951732250227434,-1.55040307011672
24,9.000900090009e-06,-2.9496672674163795,-3.0163780382885896,-2.9492188,-3.015625,-0.8739968487625512,-0.8740217006249025,-4.805897402459349,-4.935892928994625,-1.4125883677426998
25,9.375937593759377e-06,-2.9471557425273844,-3.0167691123696065,-2.9453125,-3.015625,-0.7741990960285366,-0.7733022470253346,-4.78314285741779,-4.9596913841372965,-1.221181551271413
26,9.75097509750975e-06,-2.944610977852129,-3.017136624541036,-2.9453125,-3.015625,-0.6740082612158967,-0.6754514544678409,-4.777140024030565,-4.95430090079279,-1.0592500890317944
27,1.0126012601260126e-05,-2.9420329654837074,-3.0174805470186725,-2.9414062,-3.015625,-0.5734852488682747,-0.5740836724205053,-4.782466606711856,-4.963871518202521,-0.8973241752916297
